# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F560Wmag  F770Wmag  F1000Wmag  F1130Wmag  F1280Wmag  F1500Wmag  F1800Wmag  F2100Wmag  F2550Wmag
0.0152 0.01508 8.04003 5.1178255081 2.6146593094    4.892  4.387  3.5023 -0.299    8  0.880  0.401   549.82   219.46   137.50   104.98    86.87  2 -6.34e-06      0.22 6.164e-01 3.683e-01 1.619e-03 3.295e-03 5.380e-03 -1.000 1.532e-02 -6.199 -10.041 -10.355 -11.862 -12.250 -12.194 -12.166 -12.263 -12.283 -12.411
0.0152 0.01508 8.04003 5.1178388596 2.6146595478    4.887  4.396  3.5010 -0.313    8  0.880  0.401   570.16   225.23   140.95   107.66    89.09  2 -6.97e-06      0.19 6.164e-01 3.683e-01 1.618e-03 3.297e-03 5.379e-03 -1.000 1.532e-02 -6.221 -10.021 -10.318 -11.783 -12.167 -12.107 -12.074 -12.168 -12.186 -12.313
0.0152 0.01508 8.04003 5.1178555489 2.6146595478    4.881  4.403  3.5000 -0.324    8  0.880  0.401   585.80   229.60   143.56   109.69    90.77  2 -7.48e-06      0.21 6.164e-01 3.683e-01 1.617e-03 3.299e-03 5.379e-03 -1.000 1.532e-02 -6.237 -10.069 -10.375 -11.862 -12.248 -12.190 -12.159 -12.254 -12.274 -12.401
0.0152 0.01508 8.04003 5.1178760529 2.6146597862    4.874  4.409  3.4993 -0.334    8  0.880  0.400   600.63   233.70   146.00   111.59    92.35  2 -8.02e-06      0.23 6.164e-01 3.683e-01 1.616e-03 3.302e-03 5.378e-03 -1.000 1.533e-02 -6.252 -10.121 -10.436 -11.940 -12.327 -12.271 -12.243 -12.340 -12.361 -12.489
0.0152 0.01508 8.04003 5.1178760529 2.6146597862    4.874  4.604  3.4727 -0.635    8  0.880  0.401  1330.23   402.71   245.50   189.14   156.74  2  -6.1e-05      2.11 6.164e-01 3.683e-01 1.616e-03 3.302e-03 5.378e-03 -1.000 1.533e-02 -6.740 -11.868 -12.411 -13.881 -14.252 -14.373 -14.537 -14.769 -14.875 -15.024
0.0152 0.01508 8.04003 5.1178765297 2.6146597862    4.874  4.577  3.4763 -0.594    8  0.880  0.401  1189.21   373.87   228.68   175.99   145.82  2 -4.62e-05      1.56 6.164e-01 3.683e-01 1.616e-03 3.302e-03 5.378e-03 -1.000 1.533e-02 -6.673 -11.615 -12.134 -13.700 -14.081 -14.161 -14.280 -14.478 -14.564 -14.706
0.0152 0.01508 8.04003 5.1178779602 2.6146597862    4.873  4.523  3.4836 -0.511    8  0.880  0.401   950.70   321.57   198.03   152.07   125.95  2 -2.63e-05      0.84 6.164e-01 3.683e-01 1.615e-03 3.303e-03 5.378e-03 -1.000 1.533e-02 -6.537 -11.088 -11.554 -13.231 -13.627 -13.639 -13.684 -13.833 -13.887 -14.019
0.0152 0.01508 8.04003 5.1178803444 2.6146597862    4.872  4.443  3.4944 -0.387    8  0.881  0.400   688.53   257.35   160.07   122.52   101.42  2 -1.14e-05      0.35 6.164e-01 3.683e-01 1.615e-03 3.304e-03 5.378e-03 -1.000 1.533e-02 -6.337 -10.393 -10.757 -12.347 -12.740 -12.698 -12.684 -12.793 -12.821 -12.950
0.0152 0.01508 8.04003 5.1178841591 2.6146597862    4.870  4.332  3.5094 -0.217    8  0.881  0.400   447.77   189.09   119.26    90.87    75.16  2 -3.61e-06      0.10 6.164e-01 3.683e-01 1.614e-03 3.306e-03 5.378e-03 -1.000 1.533e-02 -6.060 -9.638 -9.866 -11.089 -11.449 -11.385 -11.346 -11.426 -11.439 -11.565
0.0152 0.01508 8.04003 5.1178898811 2.6146597862    4.867  4.369  3.5043 -0.274    8  0.881  0.400   516.61   209.78   131.69   100.50    83.15  2 -5.32e-06      0.17 6.164e-01 3.683e-01 1.612e-03 3.309e-03 5.377e-03 -1.000 1.533e-02 -6.152 -9.907 -10.194 -11.628 -12.010 -11.949 -11.916 -12.007 -12.025 -12.152
0.0152 0.01508 8.04003 5.1178984642 2.6146597862    4.864  4.396  3.5006 -0.317    8  0.881  0.399   574.54   226.39   141.63   108.20    89.54  2 -7.06e-06      0.19 6.164e-01 3.683e-01 1.609e-03 3.313e-03 5.377e-03 -1.000 1.533e-02 -6.220 -10.028 -10.326 -11.797 -12.182 -12.122 -12.089 -12.183 -12.202 -12.329
