# DEJ2000 AGC Flag ObjID RAJ2000 RVel Dist e_Dist gext iext b/a e_b/a imag e_imag Dprop Sloan Ag Ai iMAG e_iMAG g-i e_g-i logMsT e_logMsT logMsM e_logMsM logMsG e_logMsG logSFR22 e_logSFR22 logSFRN e_logSFRN logSFRG e_logSFRG logMHI e_logMHI WRAPPED_RA WRAPPED_DE px py pz size
16.64000 740710 1 1237668495242297463 169.451680 1035 17.7 2.3 0.06 0.03 0.73 0.02 16.04 0.01 Dprop Sloan 0.00 0.00 -15.23 0.29 0.59 0.07 7.66 0.12 7.83 0.11 "" "" "" "" "" "" "" "" 7.34 0.13 2.957490 0.29042 -16.7 3.1 5.1 1
16.64111 743242 1 1237668315382087795 205.759580 13166 191.9 2.3 0.07 0.03 0.20 0.01 16.65 0.01 Dprop Sloan 0.70 0.42 -20.10 0.21 0.55 0.30 9.58 0.22 9.79 0.01 9.70 0.04 "" "" "" "" -0.41 0.07 10.00 0.06 -2.692003 0.29044 -165.6 -79.9 55.0 1
16.64194 125473 0 "" 40.875840 7696 106.7 2.3 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.55 0.05 0.713418 0.29046 77.3 66.9 30.6 1
16.64194 6794 1 1237668494708703384 177.350010 3459 53.8 4.4 0.15 0.08 0.22 0.01 13.98 0.01 Dprop Sloan 0.73 0.41 -20.02 0.26 0.42 0.28 9.45 0.22 9.78 0.07 9.52 0.04 -0.42 0.07 -0.12 0.07 -0.28 0.05 9.68 0.08 3.095342 0.29046 -51.5 2.4 15.4 1
16.64194 125473 0 "" 40.875840 7696 106.7 2.3 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 9.55 0.05 0.713418 0.29046 77.3 66.9 30.6 1
16.64194 6794 1 1237668494708703384 177.350010 3459 53.8 4.4 0.15 0.08 0.22 0.01 13.98 0.01 Dprop Sloan 0.73 0.41 -20.02 0.26 0.42 0.28 9.45 0.22 9.78 0.07 9.52 0.04 -0.42 0.07 -0.12 0.07 -0.28 0.05 9.68 0.08 3.095342 0.29046 -51.5 2.4 15.4 1
16.64305 310239 1 1237680268276400227 329.394170 7679 104.8 2.3 0.30 0.15 0.45 0.01 13.85 0.01 Dprop Sloan 1.20 0.66 -21.64 0.12 0.72 0.15 10.31 0.12 10.68 0.02 "" "" 0.56 0.02 0.55 0.03 "" "" 9.91 0.05 -0.534173 0.29048 86.4 -51.1 30.0 1
16.64528 122166 0 "" 41.947080 9969 139.3 2.3 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 10.15 0.05 0.732115 0.29051 99.3 89.2 39.9 1
16.64528 719653 1 1237668494709358710 178.935000 13380 195.9 2.2 0.20 0.10 0.73 0.01 15.80 0.01 Dprop Sloan 1.04 0.56 -20.84 0.05 0.79 0.07 10.04 0.05 10.23 0.01 10.26 0.03 "" "" "" "" -0.14 0.10 10.02 0.06 3.123005 0.29051 -187.7 3.5 56.1 1
16.64528 122166 0 "" 41.947080 9969 139.3 2.3 "" "" "" "" "" "" Dprop Sloan "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 10.15 0.05 0.732115 0.29051 99.3 89.2 39.9 1
16.64528 719653 1 1237668494709358710 178.935000 13380 195.9 2.2 0.20 0.10 0.73 0.01 15.80 0.01 Dprop Sloan 1.04 0.56 -20.84 0.05 0.79 0.07 10.04 0.05 10.23 0.01 10.26 0.03 "" "" "" "" -0.14 0.10 10.02 0.06 3.123005 0.29051 -187.7 3.5 56.1 1
